time,pelvis_tilt,pelvis_tilt_vel,pelvis_list,pelvis_list_vel,pelvis_rotation,pelvis_rotation_vel,pelvis_tx,pelvis_tx_vel,pelvis_ty,pelvis_ty_vel,pelvis_tz,pelvis_tz_vel,hip_flexion_r,hip_flexion_r_vel,hip_adduction_r,hip_adduction_r_vel,hip_rotation_r,hip_rotation_r_vel,knee_angle_r,knee_angle_r_vel,ankle_angle_r,ankle_angle_r_vel,hip_flexion_l,hip_flexion_l_vel,hip_adduction_l,hip_adduction_l_vel,hip_rotation_l,hip_rotation_l_vel,knee_angle_l,knee_angle_l_vel,ankle_angle_l,ankle_angle_l_vel,lumbar_extension,lumbar_extension_vel
1.850,-0.140,0.118,-0.072,0.112,-0.076,-0.021,0.884,0.812,0.912,-0.098,0.051,-0.074,0.160,-0.483,0.152,-0.281,0.000,0.000,-0.397,-1.348,0.428,0.881,0.631,-0.451,-0.070,0.525,0.000,0.000,-0.341,1.755,0.180,-0.093,-0.087,0.000
1.858,-0.139,0.110,-0.071,0.080,-0.076,-0.059,0.891,0.810,0.911,-0.095,0.051,-0.066,0.156,-0.444,0.150,-0.228,0.000,0.000,-0.408,-1.373,0.435,0.806,0.628,-0.401,-0.066,0.413,0.000,0.000,-0.327,1.110,0.179,-0.308,-0.087,0.000
1.867,-0.139,0.128,-0.071,-0.135,-0.077,0.255,0.897,0.848,0.910,-0.098,0.050,-0.060,0.152,-0.794,0.148,0.058,0.000,0.000,-0.419,-0.781,0.442,0.144,0.625,-0.201,-0.063,0.280,0.000,0.000,-0.319,0.029,0.177,0.041,-0.087,0.000
1.875,-0.137,0.444,-0.072,0.060,-0.075,0.367,0.904,0.952,0.909,-0.081,0.050,-0.110,0.146,-1.384,0.149,-0.244,0.000,0.000,-0.425,-0.548,0.443,1.069,0.623,-1.047,-0.061,0.590,0.000,0.000,-0.318,0.288,0.177,0.982,-0.087,0.000
1.883,-0.134,0.316,-0.071,-0.123,-0.072,0.277,0.912,0.918,0.909,-0.077,0.049,-0.052,0.135,-1.051,0.147,0.058,0.000,0.000,-0.430,-0.875,0.451,0.094,0.615,-0.647,-0.056,0.212,0.000,0.000,-0.316,-0.812,0.185,-0.176,-0.087,0.000
1.892,-0.131,0.416,-0.072,-0.161,-0.070,0.376,0.919,0.959,0.908,-0.079,0.048,-0.059,0.127,-1.435,0.147,0.072,0.000,0.000,-0.437,-0.441,0.452,0.543,0.609,-0.587,-0.054,0.233,0.000,0.000,-0.322,-1.614,0.184,-0.135,-0.087,0.000
1.900,-0.128,0.400,-0.074,-0.238,-0.067,0.323,0.927,0.963,0.907,-0.076,0.048,-0.040,0.115,-1.345,0.148,0.164,0.000,0.000,-0.440,-0.605,0.457,0.052,0.605,-0.565,-0.052,0.082,0.000,0.000,-0.335,-2.012,0.182,0.111,-0.087,0.000
1.908,-0.125,0.375,-0.076,-0.173,-0.064,0.204,0.934,0.954,0.907,-0.065,0.048,-0.050,0.104,-1.249,0.149,0.054,0.000,0.000,-0.445,-0.719,0.457,-0.111,0.600,-0.739,-0.052,0.097,0.000,0.000,-0.351,-1.717,0.183,-0.254,-0.087,0.000
1.917,-0.122,0.347,-0.077,-0.183,-0.062,0.403,0.942,0.959,0.906,-0.059,0.047,-0.061,0.094,-1.078,0.149,0.116,0.000,0.000,-0.451,-1.023,0.456,-0.109,0.594,-0.823,-0.051,0.167,0.000,0.000,-0.365,-1.169,0.181,-0.430,-0.087,0.000
1.925,-0.119,0.319,-0.078,-0.151,-0.059,0.625,0.950,0.956,0.906,-0.042,0.047,-0.094,0.086,-1.142,0.150,0.080,0.000,0.000,-0.459,-0.825,0.455,-0.067,0.588,-0.254,-0.050,0.268,0.000,0.000,-0.375,-1.951,0.178,-1.174,-0.087,0.000
1.933,-0.117,0.361,-0.080,-0.072,-0.054,0.315,0.957,0.946,0.905,0.011,0.046,-0.086,0.077,-0.902,0.151,-0.013,0.000,0.000,-0.466,-1.318,0.455,-0.228,0.586,-0.713,-0.047,0.185,0.000,0.000,-0.390,-1.048,0.169,-0.215,-0.087,0.000
1.942,-0.114,0.025,-0.080,0.051,-0.052,-0.161,0.965,0.844,0.906,-0.020,0.045,-0.087,0.069,0.125,0.151,-0.224,0.000,0.000,-0.476,-2.369,0.453,-0.890,0.580,0.057,-0.046,0.146,0.000,0.000,-0.399,-1.749,0.167,0.330,-0.087,0.000
1.950,-0.113,0.054,-0.080,0.072,-0.053,-0.320,0.972,0.825,0.905,0.001,0.045,-0.089,0.070,0.439,0.149,-0.304,0.000,0.000,-0.495,-3.072,0.446,-0.607,0.580,-0.152,-0.045,0.116,0.000,0.000,-0.413,-1.451,0.169,0.259,-0.087,0.000
1.958,-0.113,0.128,-0.079,0.185,-0.055,-0.142,0.978,0.861,0.905,0.030,0.044,-0.113,0.074,0.288,0.147,-0.402,0.000,0.000,-0.520,-2.896,0.441,-0.911,0.579,-0.373,-0.044,0.307,0.000,0.000,-0.424,-1.369,0.172,0.040,-0.087,0.000
1.967,-0.112,0.299,-0.078,0.112,-0.057,-0.105,0.985,0.936,0.906,0.073,0.043,-0.089,0.076,-0.146,0.143,-0.278,0.000,0.000,-0.543,-2.432,0.434,-1.524,0.576,-0.709,-0.041,0.167,0.000,0.000,-0.435,-1.466,0.172,0.424,-0.087,0.000
1.975,-0.110,0.199,-0.077,-0.032,-0.057,-0.078,0.993,0.899,0.906,0.055,0.042,-0.061,0.075,0.364,0.141,-0.099,0.000,0.000,-0.562,-3.170,0.421,-1.172,0.571,-0.412,-0.040,-0.025,0.000,0.000,-0.447,-1.890,0.175,1.013,-0.087,0.000
1.983,-0.108,0.083,-0.077,-0.028,-0.058,-0.146,1.000,0.859,0.907,0.055,0.042,-0.061,0.078,0.717,0.140,-0.074,0.000,0.000,-0.588,-3.462,0.412,-1.840,0.567,-0.346,-0.040,-0.066,0.000,0.000,-0.462,-1.700,0.183,0.694,-0.087,0.000
1.992,-0.107,-0.080,-0.077,0.153,-0.059,-0.314,1.007,0.814,0.907,0.076,0.041,-0.098,0.084,1.374,0.140,-0.306,0.000,0.000,-0.615,-4.228,0.397,-2.528,0.564,-0.561,-0.041,0.115,0.000,0.000,-0.476,-0.831,0.189,0.475,-0.087,0.000
2.000,-0.108,-0.234,-0.076,0.253,-0.062,-0.391,1.013,0.749,0.908,0.060,0.040,-0.116,0.095,2.147,0.137,-0.412,0.000,0.000,-0.649,-5.064,0.377,-2.456,0.560,-0.419,-0.040,0.254,0.000,0.000,-0.482,-0.660,0.193,0.457,-0.087,0.000
2.008,-0.110,-0.118,-0.074,0.261,-0.065,-0.484,1.019,0.756,0.908,0.066,0.039,-0.116,0.112,2.226,0.134,-0.465,0.000,0.000,-0.690,-5.337,0.357,-3.051,0.557,-0.629,-0.038,0.291,0.000,0.000,-0.488,-0.549,0.196,0.888,-0.087,0.000
2.017,-0.111,-0.121,-0.072,0.182,-0.069,-0.512,1.025,0.745,0.909,0.069,0.039,-0.099,0.130,2.025,0.130,-0.386,0.000,0.000,-0.732,-4.955,0.333,-3.460,0.552,-0.693,-0.035,0.220,0.000,0.000,-0.492,-0.410,0.203,1.077,-0.087,0.000
2.025,-0.112,-0.209,-0.071,0.308,-0.073,-0.661,1.031,0.730,0.909,0.083,0.038,-0.114,0.146,2.461,0.127,-0.559,0.000,0.000,-0.772,-5.285,0.305,-4.015,0.546,-1.011,-0.034,0.321,0.000,0.000,-0.495,0.427,0.212,0.965,-0.087,0.000
2.033,-0.113,-0.346,-0.068,0.344,-0.078,-0.721,1.037,0.690,0.910,0.058,0.037,-0.115,0.165,2.938,0.123,-0.620,0.000,0.000,-0.814,-5.601,0.273,-4.182,0.538,-0.883,-0.031,0.347,0.000,0.000,-0.492,0.524,0.220,1.010,-0.087,0.000
2.042,-0.116,-0.344,-0.065,0.431,-0.084,-0.740,1.043,0.689,0.910,0.058,0.036,-0.139,0.189,3.114,0.118,-0.773,0.000,0.000,-0.859,-5.783,0.240,-4.571,0.531,-1.012,-0.028,0.485,0.000,0.000,-0.488,0.733,0.228,1.262,-0.087,0.000
2.050,-0.119,-0.338,-0.062,0.322,-0.090,-0.707,1.048,0.679,0.911,0.059,0.035,-0.123,0.214,3.235,0.112,-0.609,0.000,0.000,-0.905,-5.702,0.203,-5.412,0.523,-0.834,-0.024,0.341,0.000,0.000,-0.482,0.311,0.238,1.022,-0.087,0.000
2.058,-0.122,-0.320,-0.059,0.446,-0.095,-0.711,1.054,0.655,0.911,0.050,0.034,-0.141,0.240,3.378,0.107,-0.819,0.000,0.000,-0.951,-5.629,0.160,-5.355,0.516,-0.880,-0.022,0.498,0.000,0.000,-0.479,0.504,0.246,0.869,-0.087,0.000
2.067,-0.124,-0.279,-0.056,0.586,-0.101,-0.741,1.059,0.645,0.912,0.025,0.033,-0.158,0.267,3.494,0.100,-1.039,0.000,0.000,-0.996,-5.658,0.117,-5.001,0.509,-0.924,-0.018,0.674,0.000,0.000,-0.475,0.616,0.253,1.119,-0.087,0.000
2.075,-0.126,-0.286,-0.051,0.594,-0.107,-0.650,1.064,0.630,0.912,0.008,0.031,-0.158,0.295,3.565,0.092,-1.045,0.000,0.000,-1.041,-5.567,0.077,-4.466,0.502,-0.837,-0.012,0.707,0.000,0.000,-0.470,0.547,0.262,1.120,-0.087,0.000
2.083,-0.129,-0.311,-0.046,0.466,-0.112,-0.542,1.069,0.598,0.912,0.000,0.030,-0.160,0.323,3.669,0.084,-0.895,0.000,0.000,-1.086,-5.355,0.041,-4.681,0.495,-0.552,-0.007,0.580,0.000,0.000,-0.466,0.107,0.271,1.070,-0.087,0.000
2.092,-0.131,-0.340,-0.043,0.626,-0.117,-0.480,1.074,0.614,0.912,-0.014,0.029,-0.190,0.353,3.747,0.076,-1.121,0.000,0.000,-1.129,-5.232,0.004,-3.383,0.491,-0.649,-0.002,0.801,0.000,0.000,-0.465,0.378,0.280,1.043,-0.087,0.000
2.100,-0.134,-0.362,-0.038,0.713,-0.120,-0.450,1.079,0.617,0.912,-0.033,0.027,-0.184,0.383,3.771,0.067,-1.224,0.000,0.000,-1.170,-4.932,-0.023,-2.082,0.485,-0.633,0.004,0.882,0.000,0.000,-0.462,0.402,0.288,0.989,-0.087,0.000
2.108,-0.137,-0.138,-0.032,0.761,-0.124,-0.377,1.084,0.659,0.912,-0.024,0.026,-0.185,0.413,3.380,0.058,-1.335,0.000,0.000,-1.210,-4.392,-0.040,-0.762,0.480,-0.888,0.011,1.008,0.000,0.000,-0.459,0.381,0.296,1.003,-0.087,0.000
2.117,-0.138,-0.127,-0.026,0.717,-0.127,-0.350,1.089,0.649,0.911,-0.010,0.024,-0.196,0.440,3.317,0.047,-1.392,0.000,0.000,-1.245,-3.992,-0.046,0.310,0.473,-1.047,0.019,0.997,0.000,0.000,-0.456,0.822,0.304,0.898,-0.087,0.000
2.125,-0.139,-0.151,-0.020,0.766,-0.130,-0.216,1.094,0.628,0.911,-0.021,0.023,-0.220,0.466,3.387,0.036,-1.527,0.000,0.000,-1.277,-3.706,-0.043,1.098,0.465,-0.848,0.027,1.128,0.000,0.000,-0.449,0.545,0.311,1.099,-0.087,0.000
2.133,-0.140,-0.196,-0.014,0.696,-0.132,0.047,1.099,0.604,0.911,-0.005,0.021,-0.204,0.493,3.346,0.024,-1.327,0.000,0.000,-1.307,-3.096,-0.035,1.694,0.458,-0.841,0.036,1.083,0.000,0.000,-0.445,0.773,0.320,0.743,-0.087,0.000
2.142,-0.142,-0.160,-0.008,0.556,-0.131,0.106,1.104,0.598,0.911,0.005,0.019,-0.184,0.520,3.169,0.013,-1.066,0.000,0.000,-1.331,-2.504,-0.021,2.243,0.451,-0.803,0.045,0.942,0.000,0.000,-0.439,0.577,0.326,0.859,-0.087,0.000
2.150,-0.143,-0.270,-0.004,0.331,-0.130,0.136,1.109,0.585,0.911,0.047,0.018,-0.125,0.546,3.080,0.004,-0.647,0.000,0.000,-1.351,-1.702,-0.003,1.351,0.445,-0.921,0.053,0.603,0.000,0.000,-0.434,1.063,0.333,0.486,-0.087,0.000
2.158,-0.145,-0.220,-0.001,0.501,-0.129,0.418,1.113,0.579,0.912,0.044,0.017,-0.166,0.570,2.883,-0.001,-0.956,0.000,0.000,-1.365,-1.267,0.008,1.946,0.438,-0.862,0.057,0.919,0.000,0.000,-0.425,0.930,0.336,0.600,-0.087,0.000
2.167,-0.147,-0.164,0.003,0.398,-0.126,0.275,1.118,0.611,0.912,0.059,0.016,-0.123,0.593,2.663,-0.008,-0.709,0.000,0.000,-1.375,-0.725,0.023,1.904,0.431,-0.992,0.065,0.718,0.000,0.000,-0.418,0.948,0.341,0.497,-0.087,0.000
2.175,-0.148,-0.149,0.006,0.233,-0.124,0.342,1.123,0.609,0.912,0.059,0.015,-0.095,0.615,2.486,-0.014,-0.399,0.000,0.000,-1.381,-0.269,0.038,2.471,0.423,-0.789,0.071,0.534,0.000,0.000,-0.410,0.538,0.345,0.484,-0.087,0.000
2.183,-0.149,-0.261,0.008,0.079,-0.121,0.541,1.128,0.573,0.913,0.054,0.014,-0.068,0.634,2.473,-0.017,-0.126,0.000,0.000,-1.383,0.206,0.058,2.388,0.416,-0.472,0.075,0.355,0.000,0.000,-0.406,0.194,0.349,0.096,-0.087,0.000
2.192,-0.152,-0.277,0.008,-0.008,-0.117,0.530,1.132,0.554,0.913,0.055,0.013,-0.034,0.654,2.334,-0.018,0.043,0.000,0.000,-1.381,0.854,0.077,1.828,0.413,-0.297,0.078,0.167,0.000,0.000,-0.405,-0.333,0.350,-0.383,-0.087,0.000
2.200,-0.154,-0.128,0.008,0.025,-0.112,0.439,1.137,0.605,0.914,0.058,0.013,-0.044,0.673,2.038,-0.018,-0.059,0.000,0.000,-1.375,1.422,0.092,0.978,0.410,-1.403,0.079,0.242,0.000,0.000,-0.407,2.311,0.347,2.231,-0.087,0.000
2.208,-0.155,-0.036,0.009,0.072,-0.109,0.126,1.142,0.639,0.914,0.052,0.013,-0.021,0.689,1.618,-0.018,-0.021,0.000,0.000,-1.363,1.463,0.100,1.980,0.399,-1.875,0.081,0.108,0.000,0.000,-0.389,3.282,0.365,3.054,-0.087,0.000
2.217,-0.155,-0.459,0.009,-0.098,-0.108,1.182,1.147,0.495,0.915,0.023,0.013,-0.067,0.702,2.102,-0.019,-0.022,0.000,0.000,-1.352,2.067,0.116,0.602,0.384,1.293,0.082,0.416,0.000,0.000,-0.363,-4.088,0.389,-3.197,-0.087,0.000
2.225,-0.159,-0.310,0.008,-0.016,-0.098,0.615,1.151,0.553,0.915,0.026,0.012,-0.019,0.719,1.866,-0.019,-0.020,0.000,0.000,-1.335,2.339,0.120,0.478,0.394,-0.286,0.085,0.149,0.000,0.000,-0.395,-0.019,0.364,0.326,-0.087,0.000
2.233,-0.161,-0.313,0.008,0.035,-0.094,0.459,1.155,0.555,0.915,0.015,0.012,-0.010,0.734,1.730,-0.019,-0.068,0.000,0.000,-1.316,2.698,0.124,1.972,0.392,-0.283,0.086,0.187,0.000,0.000,-0.395,-0.161,0.366,0.448,-0.087,0.000
2.242,-0.164,-0.371,0.009,0.064,-0.090,0.426,1.160,0.525,0.915,0.014,0.012,-0.013,0.748,1.724,-0.019,-0.145,0.000,0.000,-1.295,2.975,0.140,0.902,0.390,-0.287,0.088,0.200,0.000,0.000,-0.397,0.126,0.370,0.285,-0.087,0.000
2.250,-0.167,-0.311,0.009,-0.035,-0.086,0.353,1.164,0.520,0.915,-0.012,0.012,0.019,0.762,1.396,-0.021,0.026,0.000,0.000,-1.271,3.312,0.147,1.485,0.388,-0.129,0.089,0.050,0.000,0.000,-0.396,-0.373,0.372,0.556,-0.087,0.000
2.258,-0.169,-0.427,0.009,0.081,-0.084,0.388,1.168,0.489,0.915,-0.028,0.012,0.004,0.773,1.584,-0.020,-0.159,0.000,0.000,-1.244,3.461,0.159,0.291,0.386,-0.022,0.090,0.204,0.000,0.000,-0.399,-0.227,0.376,0.352,-0.087,0.000
2.267,-0.173,-0.352,0.009,-0.108,-0.081,0.412,1.172,0.515,0.915,-0.022,0.012,0.033,0.785,1.160,-0.022,0.084,0.000,0.000,-1.217,3.893,0.161,0.671,0.386,-0.020,0.091,-0.021,0.000,0.000,-0.400,-0.510,0.379,0.678,-0.087,0.000
2.275,-0.175,-0.289,0.009,0.017,-0.077,0.520,1.176,0.528,0.915,-0.020,0.012,-0.001,0.795,0.983,-0.021,-0.200,0.000,0.000,-1.186,4.134,0.167,0.524,0.386,-0.157,0.091,0.172,0.000,0.000,-0.405,-0.295,0.385,0.521,-0.087,0.000
2.283,-0.178,-0.262,0.009,-0.118,-0.073,0.380,1.180,0.518,0.915,-0.020,0.012,0.050,0.803,0.754,-0.023,0.080,0.000,0.000,-1.153,4.551,0.171,0.864,0.385,-0.158,0.093,-0.087,0.000,0.000,-0.407,-0.426,0.389,0.764,-0.087,0.000
2.292,-0.180,-0.434,0.008,-0.036,-0.070,0.242,1.184,0.458,0.914,-0.010,0.013,0.053,0.809,0.689,-0.022,0.009,0.000,0.000,-1.116,5.113,0.178,0.002,0.384,0.049,0.092,-0.050,0.000,0.000,-0.410,-0.288,0.395,0.438,-0.087,0.000
2.300,-0.183,-0.224,0.007,-0.009,-0.068,0.471,1.188,0.581,0.914,-0.028,0.013,0.038,0.814,0.454,-0.022,-0.116,0.000,0.000,-1.075,4.729,0.178,-0.305,0.384,-0.390,0.092,0.070,0.000,0.000,-0.413,-0.170,0.398,0.732,-0.087,0.000
2.308,-0.185,-0.148,0.007,-0.056,-0.064,0.344,1.193,0.590,0.914,-0.012,0.013,0.054,0.818,0.130,-0.023,-0.009,0.000,0.000,-1.037,5.063,0.175,-0.412,0.381,-0.564,0.092,-0.023,0.000,0.000,-0.414,-0.081,0.404,0.710,-0.087,0.000
2.317,-0.186,-0.201,0.007,-0.008,-0.062,0.371,1.197,0.569,0.914,-0.011,0.014,0.040,0.819,0.020,-0.023,-0.064,0.000,0.000,-0.997,5.350,0.172,-0.526,0.376,-0.393,0.092,0.045,0.000,0.000,-0.415,-0.224,0.410,0.521,-0.087,0.000
2.325,-0.188,-0.318,0.007,-0.154,-0.059,0.186,1.202,0.619,0.914,-0.003,0.014,0.084,0.819,-0.174,-0.023,0.243,0.000,0.000,-0.954,5.818,0.168,-0.891,0.373,-0.578,0.092,-0.219,0.000,0.000,-0.416,0.236,0.414,0.712,-0.087,0.000
2.333,-0.190,-0.470,0.006,-0.226,-0.057,0.407,1.207,0.614,0.914,-0.036,0.015,0.099,0.818,-0.165,-0.021,0.295,0.000,0.000,-0.908,5.911,0.161,-0.871,0.369,-0.233,0.091,-0.305,0.000,0.000,-0.415,-0.128,0.420,0.609,-0.087,0.000
2.342,-0.194,-0.037,0.004,-0.191,-0.054,0.600,1.212,0.660,0.914,0.023,0.016,0.083,0.816,-1.013,-0.019,0.164,0.000,0.000,-0.860,6.243,0.154,-0.588,0.367,-0.737,0.088,-0.200,0.000,0.000,-0.416,-0.122,0.425,0.410,-0.087,0.000
2.350,-0.194,-0.101,0.002,-0.098,-0.049,0.435,1.217,0.486,0.914,-0.032,0.016,0.111,0.808,-0.627,-0.018,0.202,0.000,0.000,-0.810,6.005,0.149,-0.637,0.361,-0.290,0.087,-0.172,0.000,0.000,-0.417,-0.436,0.428,0.528,-0.087,0.000
2.358,-0.195,0.125,0.002,-0.353,-0.046,0.903,1.221,0.670,0.914,0.023,0.017,0.113,0.803,-1.385,-0.016,0.255,0.000,0.000,-0.762,6.210,0.144,-0.255,0.359,-0.815,0.085,-0.377,0.000,0.000,-0.420,-0.247,0.432,0.639,-0.087,0.000
2.367,-0.194,-0.148,-0.001,-0.269,-0.038,0.504,1.226,0.646,0.914,-0.022,0.018,0.118,0.792,-1.028,-0.014,0.351,0.000,0.000,-0.713,5.996,0.142,-0.189,0.352,-0.531,0.082,-0.353,0.000,0.000,-0.422,-0.229,0.437,0.609,-0.087,0.000
2.375,-0.195,-0.082,-0.003,-0.182,-0.034,0.165,1.231,0.835,0.914,0.004,0.019,0.098,0.784,-1.444,-0.011,0.364,0.000,0.000,-0.665,5.960,0.141,-0.067,0.348,-1.348,0.079,-0.280,0.000,0.000,-0.424,0.766,0.442,0.732,-0.087,0.000
2.383,-0.196,-0.070,-0.005,-0.176,-0.033,0.624,1.238,0.676,0.914,-0.063,0.020,0.113,0.772,-0.961,-0.008,0.199,0.000,0.000,-0.617,5.013,0.140,-0.265,0.337,-0.478,0.077,-0.239,0.000,0.000,-0.418,-0.600,0.448,0.698,-0.087,0.000
2.392,-0.197,0.091,-0.006,-0.269,-0.028,0.789,1.243,0.580,0.913,-0.027,0.021,0.150,0.765,-1.335,-0.007,0.282,0.000,0.000,-0.577,5.160,0.138,-0.641,0.333,-0.393,0.075,-0.389,0.000,0.000,-0.422,-0.776,0.454,0.561,-0.087,0.000
2.400,-0.196,0.053,-0.008,-0.142,-0.022,0.466,1.248,0.647,0.913,-0.020,0.022,0.121,0.754,-1.386,-0.005,0.237,0.000,0.000,-0.536,4.818,0.133,-0.650,0.330,-0.523,0.072,-0.249,0.000,0.000,-0.429,-0.657,0.458,0.534,-0.087,0.000
2.408,-0.196,-0.004,-0.010,-0.137,-0.018,0.236,1.253,0.693,0.913,-0.027,0.023,0.121,0.743,-1.347,-0.003,0.326,0.000,0.000,-0.497,4.453,0.128,-0.637,0.326,-0.692,0.070,-0.269,0.000,0.000,-0.434,-0.399,0.462,0.653,-0.087,0.000
2.417,-0.196,0.278,-0.011,-0.124,-0.016,0.229,1.259,0.680,0.912,-0.009,0.024,0.133,0.732,-1.464,0.000,0.336,0.000,0.000,-0.461,3.647,0.122,-0.572,0.320,-0.989,0.068,-0.269,0.000,0.000,-0.437,-0.324,0.468,0.641,-0.087,0.000
2.425,-0.193,0.269,-0.012,0.001,-0.014,0.317,1.264,0.677,0.912,-0.033,0.025,0.105,0.720,-1.269,0.003,0.130,0.000,0.000,-0.432,2.733,0.118,-0.257,0.312,-0.791,0.066,-0.074,0.000,0.000,-0.440,-0.660,0.473,0.663,-0.087,0.000
2.433,-0.191,0.051,-0.012,-0.031,-0.012,-0.110,1.270,0.731,0.912,-0.063,0.026,0.144,0.710,-0.807,0.004,0.420,0.000,0.000,-0.410,1.715,0.116,-0.486,0.306,-0.660,0.065,-0.212,0.000,0.000,-0.445,-0.776,0.478,0.678,-0.087,0.000
2.442,-0.191,-0.026,-0.012,0.091,-0.013,-0.335,1.276,0.734,0.912,-0.076,0.027,0.146,0.704,-0.629,0.007,0.409,0.000,0.000,-0.397,1.140,0.112,-0.877,0.301,-0.660,0.063,-0.094,0.000,0.000,-0.451,-0.671,0.484,0.685,-0.087,0.000
2.450,-0.191,0.199,-0.011,0.146,-0.015,-0.134,1.281,0.681,0.911,-0.078,0.028,0.133,0.699,-0.879,0.010,0.249,0.000,0.000,-0.387,0.830,0.105,-0.729,0.296,-0.617,0.063,0.042,0.000,0.000,-0.457,-1.005,0.489,0.607,-0.087,0.000
2.458,-0.189,0.219,-0.010,0.220,-0.016,-0.148,1.287,0.690,0.910,-0.083,0.029,0.135,0.692,-0.697,0.012,0.195,0.000,0.000,-0.381,-0.009,0.099,-0.256,0.291,-0.645,0.063,0.127,0.000,0.000,-0.465,-0.973,0.494,0.222,-0.087,0.000
2.467,-0.188,0.309,-0.008,-0.105,-0.018,0.023,1.292,0.763,0.910,-0.059,0.030,0.169,0.686,-0.761,0.014,0.412,0.000,0.000,-0.381,-0.807,0.097,-0.605,0.285,-0.838,0.064,-0.286,0.000,0.000,-0.472,-0.941,0.496,1.244,-0.087,0.000
2.475,-0.185,0.392,-0.009,0.121,-0.017,0.057,1.299,0.768,0.909,-0.066,0.031,0.128,0.680,-0.854,0.017,0.125,0.000,0.000,-0.387,-0.975,0.092,-0.262,0.279,-0.920,0.062,0.032,0.000,0.000,-0.480,-0.964,0.506,0.157,-0.087,0.000
2.483,-0.182,0.260,-0.008,0.084,-0.017,-0.256,1.305,0.786,0.909,-0.109,0.032,0.164,0.673,-0.598,0.018,0.333,0.000,0.000,-0.395,-1.250,0.090,0.030,0.271,-0.786,0.062,-0.052,0.000,0.000,-0.488,-1.113,0.507,1.469,-0.087,0.000
2.492,-0.180,0.246,-0.007,0.153,-0.019,-0.385,1.311,0.786,0.908,-0.073,0.034,0.153,0.668,-0.668,0.021,0.219,0.000,0.000,-0.405,-0.964,0.090,-0.286,0.265,-0.703,0.062,0.043,0.000,0.000,-0.497,-1.216,0.519,0.115,-0.087,0.000
2.500,-0.178,0.012,-0.006,0.145,-0.022,-0.521,1.317,0.671,0.907,-0.108,0.035,0.153,0.663,0.383,0.023,0.225,0.000,0.000,-0.413,-2.049,0.088,-0.484,0.259,-0.131,0.062,0.026,0.000,0.000,-0.506,-1.614,0.520,0.833,-0.087,0.000
2.508,-0.178,0.009,-0.005,0.058,-0.026,-0.710,1.323,0.690,0.906,-0.076,0.036,0.188,0.666,0.285,0.024,0.434,0.000,0.000,-0.429,-1.692,0.084,-0.091,0.258,-0.371,0.062,-0.093,0.000,0.000,-0.519,-1.151,0.526,0.211,-0.087,0.000
2.517,-0.178,0.030,-0.005,0.048,-0.032,-0.610,1.328,0.690,0.906,-0.077,0.038,0.191,0.668,0.353,0.028,0.432,0.000,0.000,-0.443,-1.931,0.083,0.510,0.255,-0.193,0.061,-0.078,0.000,0.000,-0.528,-1.578,0.528,0.191,-0.087,0.000
2.525,-0.178,0.204,-0.004,0.013,-0.037,-0.440,1.334,0.722,0.905,-0.053,0.039,0.194,0.671,0.105,0.031,0.426,0.000,0.000,-0.458,-2.014,0.088,0.903,0.254,-0.390,0.061,-0.110,0.000,0.000,-0.541,-1.604,0.529,-0.030,-0.087,0.000
2.533,-0.176,0.248,-0.004,0.072,-0.040,-0.661,1.339,0.715,0.905,-0.043,0.041,0.198,0.672,0.215,0.035,0.457,0.000,0.000,-0.474,-2.389,0.095,1.364,0.251,-0.384,0.060,-0.055,0.000,0.000,-0.554,-1.707,0.529,-0.305,-0.087,0.000
2.542,-0.174,0.201,-0.004,0.014,-0.046,-0.701,1.345,0.701,0.904,-0.031,0.042,0.219,0.674,0.218,0.038,0.502,0.000,0.000,-0.493,-2.328,0.106,1.019,0.248,-0.265,0.059,-0.148,0.000,0.000,-0.568,-1.813,0.527,-0.522,-0.087,0.000
2.550,-0.172,0.158,-0.003,0.091,-0.051,-0.606,1.351,0.701,0.904,-0.023,0.044,0.195,0.675,0.163,0.042,0.293,0.000,0.000,-0.512,-2.120,0.114,0.575,0.246,-0.147,0.058,0.003,0.000,0.000,-0.582,-1.907,0.523,-0.811,-0.087,0.000
2.558,-0.171,0.291,-0.003,0.033,-0.056,-0.621,1.356,0.749,0.904,0.012,0.046,0.211,0.677,-0.359,0.045,0.369,0.000,0.000,-0.529,-1.457,0.118,0.523,0.244,-0.394,0.058,-0.086,0.000,0.000,-0.597,-1.857,0.516,-0.949,-0.087,0.000
2.567,-0.169,0.231,-0.002,-0.034,-0.061,-0.494,1.362,0.720,0.904,0.013,0.047,0.209,0.674,-0.584,0.048,0.391,0.000,0.000,-0.541,-0.825,0.123,0.849,0.241,-0.003,0.058,-0.175,0.000,0.000,-0.612,-2.448,0.508,-1.601,-0.087,0.000
2.575,-0.167,0.120,-0.003,0.021,-0.065,-0.436,1.368,0.664,0.904,0.002,0.049,0.200,0.669,-0.359,0.051,0.304,0.000,0.000,-0.547,-1.034,0.129,0.828,0.241,0.414,0.056,-0.091,0.000,0.000,-0.632,-2.783,0.496,-2.046,-0.087,0.000
2.583,-0.166,0.180,-0.003,-0.047,-0.068,-0.457,1.373,0.677,0.904,0.024,0.051,0.236,0.666,-0.638,0.053,0.429,0.000,0.000,-0.556,-0.798,0.136,0.932,0.245,0.420,0.055,-0.219,0.000,0.000,-0.654,-2.797,0.479,-1.395,-0.087,0.000
